id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
P0001;Bizcocho Andes 001;Panaderia;Bizcocho;Andes;11.66;9.2
P0002;Queso Inti 002;Lacteos;Queso;Ayni;15.66;10.76
P0003;Desodorante Andes 003;Cuidado personal;Desodorante;Sol;36.13;22.39
P0004;Desinfectante Sol 004;Limpieza;Desinfectante;Inti;6.5;4.48
P0005;Gaseosa Sol 005;Bebidas;Gaseosa;Valle;16.03;11.2
P0006;Frutos secos Andes 006;Snacks;Frutos secos;Premium;15.11;8.93
P0007;Queso Premium 007;Lacteos;Queso;Valle;26.98;16.15
P0008;Aceite Valle 008;Abarrotes;Aceite;Kantu;12.54;7.94
P0009;Papas Valle 009;Snacks;Papas;Sol;14.24;10.39
P0010;Lavavajilla Inti 010;Limpieza;Lavavajilla;Norte;31.58;22.02
P0011;Bizcocho Ayni 011;Panaderia;Bizcocho;Premium;24.34;13.92
P0012;Lavavajilla Valle 012;Limpieza;Lavavajilla;Valle;20.36;14.65
P0013;Tomate Norte 013;Frutas y verduras;Tomate;Premium;17.14;10.82
P0014;Chocolates Kantu 014;Snacks;Chocolates;Premium;17.72;11.37
P0015;Papa Inti 015;Frutas y verduras;Papa;Ayni;22.56;14.97
P0016;Hamburguesa Premium 016;;Hamburguesa;Kantu;55.75;40.89
P0017;Shampoo Sol 017;Cuidado personal;Shampoo;Premium;6.28;4.14
P0018;Hamburguesa Kantu 018;Congelados;Hamburguesa;Sol;16.47;11.14
P0019;Gaseosa Valle 019;Bebidas;Gaseosa;Andes;19.95;14.4
P0020;Yogurt Ayni 020;Lacteos;Yogurt;Ayni;33.08;22.7
P0021;Desodorante Ayni 021;Cuidado Personal;Desodorante;Ayni;15.85;10.28
P0022;Tostadas Valle 022;Panaderia;Tostadas;Premium;10.24;6.8
P0023;Fideos Premium 023;Abarrotes;Fideos;Ayni;24.74;19.75
P0024;Gaseosa Norte 024;Bebidas;Gaseosa;Kantu;20.26;14.59
P0025;Papas Ayni 025;Snacks;Papas;Kantu;16.45;9.92
P0026;Pan molde Andes 026;Panaderia;Pan molde;Valle;27.3;20.87
P0027;Fideos Inti 027;abarrotes ;Fideos;Ayni;32.97;24.56
P0028;Keke Premium 028;Panaderia;Keke;Valle;27.14;21.81
P0029;Suavizante Inti 029;Limpieza;Suavizante;Premium;16.19;12.13
P0030;Bizcocho Sol 030;Panaderia;Bizcocho;Andes;31.11;20.8
P0031;Pasta dental Andes 031;Cuidado personal;Pasta dental;Andes;26.05;18.02
P0032;Lavavajilla Valle 032;Limpieza;Lavavajilla;Inti;17.29;11.02
P0033;Aceite Kantu 033;Abarote;Aceite;Andes;21.87;13.95
P0034;Arroz Inti 034;Abarrotes;Arroz;Andes;22.22;16.79
P0035;Shampoo Inti 035;Cuidado personal;Shampoo;Andes;27.39;16.54
P0036;Papa Valle 036;Frutas y verduras;Papa;Inti;30.25;24.42
P0037;Detergente Premium 037;Limpieza;Detergente;Sol;12.05;8.07
P0038;Pan molde Ayni 038;Panaderia;Pan molde;Inti;32.03;25.33
P0039;Platano Sol 039;Frutas y verduras;Platano;Andes;15.02;9.51
P0040;Leche Valle 040;Lacteos;Leche;Valle;25.0;15.32
P0041;Pizza Inti 041;Congelados;Pizza;Andes;13.14;7.73
P0042;Arroz Sol 042;ABARROTES;Arroz;Sol;8.79;5.54
P0043;Shampoo Inti 043; cuidado personal;Shampoo;Sol;29.15;23.38
P0044;Lavavajilla Kantu 044;Limpieza;Lavavajilla;Ayni;19.03;14.33
P0045;Detergente Valle 045;Limpieza;Detergente;Norte;38.52;28.44
P0046;Aceite Norte 046;Abarrotes;Aceite;Sol;10.79;6.62
P0047;Arroz Inti 047;Abarote;Arroz;Ayni;22.16;13.57
P0048;Desinfectante Andes 048;Limpieza;Desinfectante;Valle;13.93;8.63
P0049;Bizcocho Norte 049;Panaderia;Bizcocho;Sol;38.8;24.43
P0050;Leche Kantu 050; Lacteos;Leche;Andes;32.14;18.51
P0051;Manzana Premium 051;Frutas y verduras;Manzana;Inti;13.83;10.03
P0052;Mantequilla Andes 052;Lacteos;Mantequilla;Ayni;46.42;36.31
P0053;Verduras congeladas Inti 053;Congelados;Verduras congeladas;Premium;9.66;6.21
P0054;Papa Premium 054;Frutas y verduras;Papa;Valle;22.74;13.77
P0055;Embutidos Andes 055;Carnes;Embutidos;Ayni;59.83;38.45
P0056;Fideos Valle 056;Abarrotes;Fideos;Valle;28.49;16.68
P0057;Agua Kantu 057;Bebidas;Agua;Kantu;23.64;14.49
P0058;Fideos Valle 058;Abarrotes;Fideos;Valle;13.93;10.74
P0059;Conservas Premium 059;Abarote;Conservas;Andes;39.15;22.89
P0060;Papas Sol 060; snacks ;Papas;Inti;18.22;12.73
P0061;Pan molde Andes 061;Panaderia;Pan molde;Kantu;25.58;14.43
P0062;Yogurt Valle 062;Lacteos;Yogurt;Andes;10.37;7.85
P0063;Tostadas Valle 063;Panaderia;Tostadas;Valle;19.33;13.76
P0064;Bizcocho Andes 064;Panaderia;Bizcocho;Inti;23.18;17.62
P0065;Desodorante Sol 065;Cuidado personal;Desodorante;Kantu;8.06;4.44
P0066;Shampoo Inti 066;Cuidado personal;Shampoo;Premium;36.59;25.64
